run_id,kind,weight_type,rng_seed,n,edges,seed_frac,seed_count,theta_mean,theta_sd,max_steps,final_adoption,steps_to_converge,xi_1,xi_2,xi_3,xi_inf
8431,small_world,inv_degree,8506921,100,300,0.03,3,0.45,0.1,50,0.09,5,0.7450000000000002,0.4850000000000003,0.12000000000000009,0.0
8432,small_world,inv_degree,8507930,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7850000000000001,0.3700000000000003,0.13000000000000025,0.0
8433,small_world,inv_degree,8508939,100,300,0.03,3,0.45,0.1,50,0.04,1,0.7499999999999997,0.44999999999999973,0.15666666666666657,0.0
8434,small_world,inv_degree,8509948,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7500000000000001,0.4200000000000004,0.08000000000000007,0.0
8435,small_world,inv_degree,8510957,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7400000000000001,0.3350000000000005,0.020000000000000042,0.0
8436,small_world,inv_degree,8511966,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7966666666666666,0.5166666666666665,0.23333333333333314,0.0
8437,small_world,inv_degree,8512975,100,300,0.03,3,0.45,0.1,50,0.03,0,0.76,0.39000000000000035,0.015000000000000003,0.0
8438,small_world,inv_degree,8513984,100,300,0.03,3,0.45,0.1,50,0.03,0,0.8200000000000003,0.45000000000000046,0.07500000000000008,0.0
8439,small_world,inv_degree,8514993,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7733333333333332,0.35666666666666647,0.020000000000000014,0.0
8440,small_world,inv_degree,8516002,100,300,0.03,3,0.45,0.1,50,0.03,0,0.8200000000000002,0.46000000000000046,0.09500000000000014,0.0
8441,small_world,inv_degree,8517011,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7550000000000002,0.33500000000000035,0.03000000000000006,0.0
8442,small_world,inv_degree,8518020,100,300,0.03,3,0.45,0.1,50,0.04,1,0.7966666666666666,0.4166666666666668,0.10333333333333343,0.0
8443,small_world,inv_degree,8519029,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7850000000000005,0.4800000000000001,0.11500000000000003,0.0
8444,small_world,inv_degree,8520038,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7433333333333333,0.4966666666666666,0.19333333333333327,0.0
8445,small_world,inv_degree,8521047,100,300,0.03,3,0.45,0.1,50,0.03,0,0.77,0.3900000000000004,0.0650000000000001,0.0
8446,small_world,inv_degree,8522056,100,300,0.03,3,0.45,0.1,50,0.1,6,0.7466666666666666,0.38,0.16000000000000011,0.0
8447,small_world,inv_degree,8523065,100,300,0.03,3,0.45,0.1,50,0.03,0,0.7799999999999997,0.3533333333333332,0.05999999999999997,0.0
